id,name,type,manufacturer,category,release_date,price,price_unit,cpu,gpu,os,memory,memory_unit,storage,storage_unit,display_size,display_unit,display_resolution,display_type,display_refresh_rate,display_refresh_rate_unit,battery_capacity,battery_unit,battery_charging,charging_wired_max,charging_wired_unit,charging_wireless_max,charging_wireless_unit,camera_rear,camera_front,connectivity_bluetooth,connectivity_wifi,connectivity_cellular,weight,weight_unit,dimensions,benchmarks_geekbench_single,benchmarks_geekbench_multi,benchmarks_3dmark_wild_life_extreme
samsung-galaxy-s23-ultra,Samsung Galaxy S23 Ultra,디바이스,Samsung,smartphone,2023-02,1490000,KRW,snapdragon-8-gen-2,Adreno 740,Android 13 (One UI 5.1),8,GB,256|512|1024,GB,6.8,inch,3088 x 1440,Dynamic AMOLED 2X,120,Hz,5000,mAh,"USB-C, Wireless, Reverse",45,W,15,W,200MP + 10MP + 10MP + 12MP,12MP,5.3,Wi-Fi 6E (802.11ax),5G (sub-6GHz and mmWave),234,g,163.3 x 78.1 x 8.9 mm,1910,5101,3723
samsung-galaxy-s24,Samsung Galaxy S24,디바이스,Samsung,smartphone,2024-01,1099000,KRW,exynos-2400,Xclipse 940,Android 14 (One UI 6.1),8,GB,128|256,GB,6.2,inch,2340 x 1080,Dynamic AMOLED 2X,120,Hz,4000,mAh,"USB-C, Wireless, Reverse",25,W,15,W,50MP + 10MP + 12MP,12MP,5.3,Wi-Fi 7 (802.11be),5G (sub-6GHz and mmWave),167,g,147.0 x 70.6 x 7.6 mm,1940,6263,3564
samsung-galaxy-s24-plus,Samsung Galaxy S24+,디바이스,Samsung,smartphone,2024-01,1299000,KRW,exynos-2400,Xclipse 940,Android 14 (One UI 6.1),12,GB,256|512,GB,6.7,inch,3120 x 1440,Dynamic AMOLED 2X,120,Hz,4900,mAh,"USB-C, Wireless, Reverse",45,W,15,W,50MP + 10MP + 12MP,12MP,5.3,Wi-Fi 7 (802.11be),5G (sub-6GHz and mmWave),196,g,158.5 x 75.9 x 7.7 mm,2038,6545,3812
samsung-galaxy-s24-ultra,Samsung Galaxy S24 Ultra,디바이스,Samsung,smartphone,2024-01,1490000,KRW,snapdragon-8-gen-3-for-galaxy,Adreno 750,Android 14 (One UI 6.1),12,GB,256|512|1024,GB,6.8,inch,3120 x 1440,Dynamic AMOLED 2X,120,Hz,5000,mAh,"USB-C, Wireless, Reverse",45,W,15,W,200MP + 50MP + 12MP + 10MP,12MP,5.3,Wi-Fi 7 (802.11be),5G (sub-6GHz and mmWave),233,g,162.3 x 79.0 x 8.6 mm,2106,6640,4531
samsung-galaxy-s25,Samsung Galaxy S25,디바이스,Samsung,smartphone,2025-01,1155000,KRW,snapdragon-8-elite-for-galaxy,Adreno 830,Android 15 (One UI 7.0),12,GB,256|512,GB,6.2,inch,2340 x 1080,Dynamic AMOLED 2X,120,Hz,4000,mAh,"USB-C, Wireless, Reverse",45,W,15,W,50MP + 10MP + 12MP,12MP,5.4,Wi-Fi 7 (802.11be),5G (sub-6GHz and mmWave),167,g,147.0 x 70.6 x 7.6 mm,2722,9227,5664
samsung-galaxy-s25-plus,Samsung Galaxy S25+,디바이스,Samsung,smartphone,2025-01,1353000,KRW,snapdragon-8-elite-for-galaxy,Adreno 830,Android 15 (One UI 7.0),12,GB,256|512,GB,6.7,inch,3120 x 1440,Dynamic AMOLED 2X,120,Hz,4900,mAh,"USB-C, Wireless, Reverse",45,W,15,W,50MP + 10MP + 12MP,12MP,5.4,Wi-Fi 7 (802.11be),5G (sub-6GHz and mmWave),196,g,158.5 x 75.9 x 7.7 mm,2843,9433,5597
samsung-galaxy-s25-ultra,Samsung Galaxy S25 Ultra,디바이스,Samsung,smartphone,2025-01,1698400,KRW,snapdragon-8-elite-for-galaxy,Adreno 830,Android 15 (One UI 7.0),12,GB,256|512|1024,GB,6.9,inch,3120 x 1440,Dynamic AMOLED 2X,120,Hz,5000,mAh,"USB-C, Wireless, Reverse",45,W,15,W,200MP + 50MP + 10MP + 50MP,12MP,5.4,Wi-Fi 7 (802.11be),5G (sub-6GHz and mmWave),233,g,162.3 x 79.0 x 8.6 mm,2852,9430,5827
samsung-galaxy-s25-edge,Samsung Galaxy S25 Edge,디바이스,Samsung,smartphone,2025-05,1299000,KRW,snapdragon-8-elite-for-galaxy,Adreno 830,Android 15 (One UI 7.0),12,GB,256|512,GB,6.6,inch,2340 x 1080,Dynamic AMOLED 2X,120,Hz,4500,mAh,"USB-C, Wireless, Reverse",45,W,15,W,50MP + 10MP + 12MP,12MP,5.4,Wi-Fi 7 (802.11be),5G (sub-6GHz and mmWave),180,g,158.0 x 72.0 x 6.9 mm,2754,9206,5539
samsung-galaxy-s26,Samsung Galaxy S26,디바이스,Samsung,smartphone,2026-03,1254000,KRW,snapdragon-8-elite-gen-5-for-galaxy,Adreno 840,Android 16 (One UI 8.5),12,GB,256|512,GB,6.3,inch,FHD+,Dynamic AMOLED 2X,120,Hz,4300,mAh,"USB-C, Wireless, Reverse",25,W,15,W,50MP + 12MP + 10MP,12MP,5.4,Wi-Fi 7,5G (sub-6GHz),167,g,149.6 x 71.7 x 7.2 mm,3378,11097,
samsung-galaxy-s26-plus,Samsung Galaxy S26+,디바이스,Samsung,smartphone,2026-03,1452000,KRW,snapdragon-8-elite-gen-5-for-galaxy,Adreno 840,Android 16 (One UI 8.5),12,GB,256|512,GB,6.7,inch,QHD+,Dynamic AMOLED 2X,120,Hz,4900,mAh,"USB-C, Wireless, Reverse",45,W,20,W,50MP + 12MP + 10MP,12MP,6.0,Wi-Fi 7,5G (sub-6GHz and mmWave),190,g,158.4 x 75.8 x 7.3 mm,3134,11020,
samsung-galaxy-s26-ultra,Samsung Galaxy S26 Ultra,디바이스,Samsung,smartphone,2026-03,1797400,KRW,snapdragon-8-elite-gen-5-for-galaxy,Adreno 840,Android 16 (One UI 8.5),12|16,GB,256|512|1024,GB,6.9,inch,QHD+,Dynamic AMOLED 2X,120,Hz,5000,mAh,"USB-C, Wireless, Reverse",60,W,25,W,200MP + 50MP + 50MP + 10MP,12MP,6.0,Wi-Fi 7,5G (sub-6GHz and mmWave),214,g,163.6 x 78.1 x 7.9 mm,3656,11160,
samsung-galaxy-tab-s6,Samsung Galaxy Tab S6,디바이스,Samsung,tablet,2019-08,899000,KRW,snapdragon-855,Adreno 640,Android 9 (One UI 1.5),6,GB,128|256,GB,10.5,inch,2560 x 1600,Super AMOLED,60,Hz,7040,mAh,USB-C,15,W,,,13MP + 5MP,8MP,5.0,Wi-Fi 5 (802.11ac),4G LTE,420,g,244.5 x 159.5 x 5.7 mm,700,2500,
samsung-galaxy-tab-s7,Samsung Galaxy Tab S7,디바이스,Samsung,tablet,2020-08,999000,KRW,snapdragon-865-plus,Adreno 650,Android 10 (One UI 2.5),6,GB,128|256,GB,11,inch,2560 x 1600,LTPS TFT,120,Hz,8000,mAh,USB-C,45,W,,,13MP + 5MP,8MP,5.0,Wi-Fi 6 (802.11ax),5G (sub-6GHz),498,g,253.8 x 165.3 x 6.3 mm,900,3000,
samsung-galaxy-tab-s7-plus,Samsung Galaxy Tab S7+,디바이스,Samsung,tablet,2020-08,1199000,KRW,snapdragon-865-plus,Adreno 650,Android 10 (One UI 2.5),6,GB,128|256|512,GB,12.4,inch,2800 x 1752,Super AMOLED,120,Hz,10090,mAh,USB-C,45,W,,,13MP + 5MP,8MP,5.0,Wi-Fi 6 (802.11ax),5G (sub-6GHz),575,g,285.0 x 185.0 x 5.7 mm,900,3000,
samsung-galaxy-tab-s8,Samsung Galaxy Tab S8,디바이스,Samsung,tablet,2022-02,999000,KRW,snapdragon-8-gen-1,Adreno 730,Android 12 (One UI 4.1),8,GB,128|256,GB,11,inch,2560 x 1600,LTPS TFT,120,Hz,8000,mAh,USB-C,45,W,,,13MP + 6MP,12MP,5.2,Wi-Fi 6 (802.11ax),5G (sub-6GHz),503,g,253.8 x 165.3 x 6.3 mm,1622,3726,
samsung-galaxy-tab-s8-plus,Samsung Galaxy Tab S8+,디바이스,Samsung,tablet,2022-02,1199000,KRW,snapdragon-8-gen-1,Adreno 730,Android 12 (One UI 4.1),8,GB,128|256|512,GB,12.4,inch,2800 x 1752,Super AMOLED,120,Hz,10090,mAh,USB-C,45,W,,,13MP + 6MP,12MP,5.2,Wi-Fi 6 (802.11ax),5G (sub-6GHz),567,g,285.0 x 185.0 x 5.7 mm,1553,3584,
samsung-galaxy-tab-s8-ultra,Samsung Galaxy Tab S8 Ultra,디바이스,Samsung,tablet,2022-02,1399000,KRW,snapdragon-8-gen-1,Adreno 730,Android 12 (One UI 4.1),8,GB,128|256|512,GB,14.6,inch,2960 x 1848,Super AMOLED,120,Hz,11200,mAh,USB-C,45,W,,,13MP + 6MP,12MP + 12MP,5.2,Wi-Fi 6 (802.11ax),5G (sub-6GHz),728,g,326.4 x 208.6 x 5.5 mm,1626,3719,
samsung-galaxy-tab-s9,Samsung Galaxy Tab S9,디바이스,Samsung,tablet,2023-07,1099000,KRW,snapdragon-8-gen-2,Adreno 740,Android 13 (One UI 5.1),8,GB,128|256,GB,11,inch,2560 x 1600,Dynamic AMOLED 2X,120,Hz,8400,mAh,USB-C,45,W,,,13MP + 8MP,12MP,5.3,Wi-Fi 6E (802.11ax),5G (sub-6GHz),498,g,254.3 x 165.8 x 5.9 mm,2020,5451,
samsung-galaxy-tab-s9-plus,Samsung Galaxy Tab S9+,디바이스,Samsung,tablet,2023-07,1299000,KRW,snapdragon-8-gen-2,Adreno 740,Android 13 (One UI 5.1),12,GB,256|512,GB,12.4,inch,2800 x 1752,Dynamic AMOLED 2X,120,Hz,10090,mAh,USB-C,45,W,,,13MP + 8MP,12MP,5.3,Wi-Fi 6E (802.11ax),5G (sub-6GHz),581,g,285.4 x 185.4 x 5.7 mm,2047,5528,
samsung-galaxy-tab-s9-ultra,Samsung Galaxy Tab S9 Ultra,디바이스,Samsung,tablet,2023-07,1499000,KRW,snapdragon-8-gen-2,Adreno 740,Android 13 (One UI 5.1),12,GB,256|512|1024,GB,14.6,inch,2960 x 1848,Dynamic AMOLED 2X,120,Hz,11200,mAh,USB-C,45,W,,,13MP + 8MP,12MP + 12MP,5.3,Wi-Fi 6E (802.11ax),5G (sub-6GHz),732,g,326.4 x 208.6 x 5.5 mm,2057,5546,
samsung-galaxy-book2,Samsung Galaxy Book2,디바이스,Samsung,laptop,2022-02,1290000,KRW,intel-core-i5-1235u,Intel Iris Xe,Windows 11,8|16,GB,256|512,GB,15.6,inch,1920 x 1080,IPS LCD,60,Hz,54,Wh,USB-C,65,W,,,,720p,5.1,Wi-Fi 6 (802.11ax),,1550,g,355.4 x 250.4 x 15.4 mm,1500,8000,
samsung-galaxy-book3,Samsung Galaxy Book3,디바이스,Samsung,laptop,2023-02,1390000,KRW,intel-core-i5-1335u,Intel Iris Xe,Windows 11,8|16,GB,256|512,GB,15.6,inch,1920 x 1080,IPS LCD,60,Hz,54,Wh,USB-C,65,W,,,,720p,5.1,Wi-Fi 6E (802.11ax),,1550,g,355.4 x 250.4 x 15.4 mm,1700,10000,
samsung-galaxy-book2-pro-360,Samsung Galaxy Book2 Pro 360,디바이스,Samsung,laptop,2022-02,1990000,KRW,intel-core-i7-1260p,Intel Iris Xe,Windows 11,8|16,GB,256|512|1024,GB,15.6,inch,1920 x 1080,AMOLED,60,Hz,68,Wh,USB-C,65,W,,,,1080p,5.1,Wi-Fi 6E (802.11ax),,1550,g,355.4 x 250.4 x 11.9 mm,1900,15000,
samsung-galaxy-book3-pro-360,Samsung Galaxy Book3 Pro 360,디바이스,Samsung,laptop,2023-02,2490000,KRW,intel-core-i7-1360p,Intel Iris Xe,Windows 11,16|32,GB,512|1024,GB,16,inch,2880 x 1800,AMOLED,120,Hz,76,Wh,USB-C,65,W,,,,1080p,5.1,Wi-Fi 6E (802.11ax),,1650,g,355.4 x 250.4 x 12.8 mm,2300,20000,
samsung-galaxy-s25-fe,Samsung Galaxy S25 FE,디바이스,Samsung,smartphone,2025-09,,KRW,exynos-2400e,Xclipse 940,Android 15 (One UI 7.0),8,GB,256|512,GB,6.7,inch,2340 x 1080,Dynamic AMOLED 2X,120,Hz,4900,mAh,"USB-C, Wireless, Reverse",25,W,15,W,50MP + 10MP + 12MP,12MP,5.4,Wi-Fi 7 (802.11be),5G (sub-6GHz and mmWave),190,g,161.3 x 76.6 x 7.4 mm,2116,7035,3688
samsung-galaxy-tab-s10-plus,Samsung Galaxy Tab S10+,디바이스,Samsung,tablet,2024-10,,KRW,dimensity-9300-plus,Immortalis-G720 MC12,Android 14 (One UI 6.1.1),12,GB,256|512,GB,12.4,inch,2800 x 1752,Dynamic AMOLED 2X,120,Hz,10090,mAh,USB-C,45,W,,,13MP + 8MP,12MP,5.3,Wi-Fi 7,5G (sub-6GHz),571,g,285.4 x 185.4 x 5.6 mm,2084,6981,
samsung-galaxy-tab-s10-ultra,Samsung Galaxy Tab S10 Ultra,디바이스,Samsung,tablet,2024-10,,KRW,dimensity-9300-plus,Immortalis-G720 MC12,Android 14 (One UI 6.1.1),12|16,GB,256|512|1024,GB,14.6,inch,2960 x 1848,Dynamic AMOLED 2X,120,Hz,11200,mAh,USB-C,45,W,,,13MP + 8MP,12MP + 12MP,5.3,Wi-Fi 7,5G (sub-6GHz),718,g,326.4 x 208.6 x 5.4 mm,2116,7084,
samsung-galaxy-book5-pro-360,Samsung Galaxy Book5 Pro 360,디바이스,Samsung,laptop,2024-10,,KRW,intel-core-ultra-7-256v,Intel Arc Graphics,Windows 11,16,GB,1024,GB,16.0,inch,2880 x 1800,Dynamic AMOLED 2X,120,Hz,76,Wh,USB-C,65,W,,,,1080p,5.4,Wi-Fi 7,,1690,g,355.4 x 252.2 x 12.8 mm,,,
samsung-galaxy-book6-pro-14,Samsung Galaxy Book6 Pro 14,디바이스,Samsung,laptop,2026-01,,KRW,intel-core-ultra-7-series-3,Intel Arc Graphics,Windows 11,16|32,GB,256|512|1024,GB,14.0,inch,2880 x 1800,Touch AMOLED,120,Hz,67.18,Wh,USB-C,,,,,,1080p,5.4,Wi-Fi 7,,1240,g,314.2 x 220.6 x 11.6 mm,,,
samsung-galaxy-book6-pro-16,Samsung Galaxy Book6 Pro 16,디바이스,Samsung,laptop,2026-01,,KRW,intel-core-ultra-x7-358h,Intel Arc B390,Windows 11,16|32,GB,256|512|1024,GB,16.0,inch,2880 x 1800,Touch AMOLED,120,Hz,78.07,Wh,USB-C,,,,,,1080p,5.4,Wi-Fi 7,,1590,g,356.9 x 248.0 x 11.9 mm,2860,16890,
